u_g,g_r,r_i,i_z
2.331382999999998873e+00,9.601119999999987442e-01,3.507309999999996819e-01,1.853700000000024772e-01
9.122160000000008040e-01,3.075660000000013383e-01,1.082739999999979830e-01,5.437300000000178102e-02
1.165694999999999482e+00,4.122939999999992722e-01,1.586549999999995464e-01,7.140599999999963643e-02
2.153470999999999691e+00,9.395029999999984227e-01,3.382949999999986801e-01,1.680680000000016605e-01
9.602889999999995041e-01,3.980290000000010764e-01,1.309149999999981162e-01,5.070300000000216301e-02
1.383685999999997307e+00,5.548690000000000566e-01,1.961610000000000298e-01,1.790930000000017230e-01
1.160040000000000404e+00,4.341860000000021813e-01,2.083820000000002892e-01,5.179299999999997794e-02
2.440204000000001372e+00,1.024332000000001131e+00,3.711059999999992698e-01,2.048590000000007905e-01
8.669380000000010966e-01,3.238089999999971269e-01,5.303500000000127557e-02,3.557300000000296336e-02
9.324109999999983245e-01,2.922080000000022437e-01,1.484749999999976922e-01,-1.059529999999995198e-01
1.641370999999999469e+00,6.735439999999996985e-01,2.538740000000014874e-01,1.139669999999988192e-01
1.571652000000003824e+00,5.736840000000000828e-01,2.165239999999961640e-01,8.016400000000345472e-02
1.386331000000001978e+00,5.813009999999962929e-01,1.978860000000040031e-01,3.044299999999822148e-02
8.216110000000007574e-01,1.956220000000001846e-01,1.055219999999970071e-01,8.722500000000010800e-02
9.004420000000017410e-01,3.019029999999993663e-01,9.948899999999838428e-02,3.204600000000112914e-02
1.019850000000001700e+00,5.750500000000080547e-02,-7.528999999999896886e-03,-5.092800000000075045e-02
9.258939999999995507e-01,2.647720000000006735e-01,1.104619999999982838e-01,2.582600000000212503e-02
1.278261000000000536e+00,4.817619999999998015e-01,1.391470000000012419e-01,7.691000000000158821e-02
1.083882999999996599e+00,3.808990000000029852e-01,1.437689999999989254e-01,-4.289899999999846614e-02
1.053001999999999327e+00,3.708010000000001583e-01,1.328109999999984581e-01,4.866900000000029536e-02
1.052100999999996844e+00,3.979590000000001737e-01,1.662539999999985696e-01,2.687900000000098544e-02
8.450179999999996028e-01,3.076380000000007442e-01,8.106300000000032924e-02,2.276599999999717738e-02
1.799869999999998527e+00,6.870040000000017244e-01,2.310869999999987101e-01,1.517830000000017776e-01
1.337115999999998195e+00,5.022820000000010054e-01,1.637360000000001037e-01,5.935099999999948750e-02
9.994849999999999568e-01,4.097940000000015459e-01,9.140599999999921010e-02,1.357339999999993552e-01
9.913440000000015573e-01,4.341070000000009088e-01,-3.223399999999898569e-02,-8.012800000000197542e-02
